artist,song,genre
Nickelback,How You Remind Me,"rock, metal"
Daft Punk,One More Time,"hip hop, Dance/Electronic"
Outkast,Ms. Jackson,"hip hop, pop"
Fragma,Everytime You Need Me - Radio Version,"pop, Dance/Electronic"
Mariah Carey,Loverboy,"pop, R&B"
Dido,Thank You,pop
Joe,Stutter (feat. Mystikal) - Double Take Remix,"pop, R&B"
P.O.D.,Youth of the Nation,"rock, metal"
Jennifer Lopez,Play,"hip hop, pop, R&B"
Missy Elliott,Get Ur Freak On,"hip hop, pop, R&B"
Ricky Martin,Nobody Wants to Be Lonely (with Christina Aguilera),"pop, latin"
Christina Milian,AM To PM,"hip hop, pop, R&B"
Roger Sanchez,Another Chance,Dance/Electronic
Gorillaz,Clint Eastwood,hip hop
2Pac,Until The End Of Time,hip hop
Tamia,Stranger in My House,"pop, R&B"
Mary J. Blige,No More Drama,"pop, R&B"
Jennifer Lopez,Love Don't Cost a Thing,"hip hop, pop, R&B"
Jamiroquai,Little L,pop
Case,Missing You,"hip hop, pop, R&B"
112,Peaches & Cream,"hip hop, pop, R&B"
Five,Let's Dance - Radio Edit,pop
Rui Da Silva,Touch Me (Radio Edit) [feat. Cassandra],Dance/Electronic
Alien Ant Farm,Smooth Criminal,"rock, metal"
Erick Sermon,Music (feat. Marvin Gaye),"hip hop, pop"
D12,Purple Pills,"hip hop, pop, rock"
Usher,Pop Ya Collar - Radio Edit,"hip hop, pop, R&B"
Madonna,Don't Tell Me,pop
Blue,If You Come Back,pop
Atomic Kitten,Eternal Flame - Single Version,pop
Jagged Edge,Where the Party At (feat. Nelly),"hip hop, pop, R&B"
Afroman,Because I Got High,hip hop
S Club 7,Don't Stop Movin',pop
Craig David,Fill Me In,"hip hop, pop, R&B"
Nelly Furtado,Turn Off The Light,"hip hop, pop, latin"
The Supermen Lovers,Starlight - Radio Edit,Dance/Electronic
Mis-Teeq,All I Want - Sunship Radio Edit,"pop, Dance/Electronic"
Jagged Edge,Promise,"hip hop, pop, R&B"
S Club 7,Have You Ever,pop
Enya,Only Time,"World/Traditional, Folk/Acoustic"
Faith Hill,There You'll Be,"pop, country"
Ronan Keating,Lovin' Each Day,"pop, rock"
Destiny's Child,Bootylicious,"pop, R&B"
Steps,It's the Way You Make Me Feel,"pop, Dance/Electronic"
Sunshine Anderson,Heard It All Before,"pop, R&B"
Lenny Kravitz,Again,"rock, pop"
Daniel Bedingfield,Gotta Get Thru This - D'N'D Radio Edit,pop
DB Boulevard,Point Of View - Radio Edit,Dance/Electronic
Janet Jackson,All For You,"pop, R&B"
Atomic Kitten,Whole Again,pop
Ja Rule,Livin' It Up,"hip hop, pop, R&B"
Destiny's Child,"Independent Women, Pt. 1","pop, R&B"
DJ Pied Piper & The Masters Of Ceremonies,Do You Really Like It? - Radio Edit,Dance/Electronic
Jennifer Lopez,I'm Real (feat. Ja Rule) - Murder Remix,"hip hop, pop, R&B"
Musiq Soulchild,Love,"pop, R&B"
So Solid Crew,21 Seconds,Dance/Electronic
Robbie Williams,Eternity,"pop, rock"
Basement Jaxx,Romeo,"pop, Dance/Electronic"
Ludacris,Southern Hospitality (Featuring Pharrell),"hip hop, pop"
Gabrielle,Rise,"pop, R&B"
Nelly,Ride Wit Me,"hip hop, pop, R&B"
Trick Daddy,I'm a Thug,"hip hop, pop"
Travis,Sing,"rock, pop"
JAY-Z,Izzo (H.O.V.A.),hip hop
Gabrielle,Out Of Reach,"pop, R&B"
OPM,Heaven Is a Halfpipe (If I Die),rock
K-Ci & JoJo,Crazy,"pop, R&B"
Staind,It's Been Awhile,"rock, metal"
3LW,No More (Baby I'ma Do Right),"pop, R&B"
Ginuwine,Differences,"hip hop, pop, R&B"
*NSYNC,Gone,pop
Lifehouse,Hanging By A Moment,"pop, rock, metal"
Nelly,Dilemma,"hip hop, pop, R&B"
Eminem,Without Me,hip hop
Avril Lavigne,Complicated,pop
Vanessa Carlton,A Thousand Miles,"Folk/Acoustic, pop"
The Calling,Wherever You Will Go,pop
Shakira,Underneath Your Clothes,"pop, latin"
No Doubt,Underneath It All,"rock, pop"
Truth Hurts,Addictive,"pop, R&B"
Busta Rhymes,I Know What You Want (feat. Flipmode Squad),"hip hop, pop"
Eminem,'Till I Collapse,hip hop
Diddy,"I Need a Girl (Pt. 2) [feat. Loon, Ginuwine & Mario Winans]","hip hop, pop"
Christina Milian,When You Look At Me - Radio Edit,"hip hop, pop, R&B"
Madonna,Die Another Day,pop
Jennifer Lopez,I'm Gonna Be Alright (feat. Nas),"hip hop, pop, R&B"
Angie Martinez,If I Could Go! (feat. Lil' Mo & Sacario),pop
Linkin Park,In the End,"rock, metal"
Las Ketchup,The Ketchup Song (Aserej??) - Spanglish Version,set()
Aaliyah,Rock The Boat,"hip hop, pop, R&B"
Holly Valance,Kiss Kiss,"pop, Dance/Electronic"
